Purchase_Frequency,Average_Order_Value,Anomaly
17,172.57,1
10,64.89,1
3,120.38,1
12,70.34,1
18,42.39,1
12,132.9,1
16,128.43,1
10,67.52,1
7,165.26,1
6,52.86,1
8,138.72,1
13,54.53,1
5,172.68,1
18,30.56,1
18,95.85,1
10,108.6,1
10,139.31,1
3,141.64,1
18,39.17,1
18,139.37,1
17,105.73,1
14,93.03,1
16,166.36,1
11,106.34,1
19,58.13,1
9,100.65,1
11,138.91,1
4,179.37,1
18,47.25,1
7,165.36,1
13,169.44,1
1,138.29,1
12,101.33,1
2,51.68,1
14,48.23,1
19,58.92,1
5,37.72,1
2,61.25,1
9,46.48,1
19,23.99,-1
4,182.98,1
5,99.78,1
2,144.04,1
16,147.99,1
6,43.79,1
9,140.74,1
10,168.79,1
4,180.07,1
3,151.9,1
13,54.2,1
4,70.04,1
11,79.79,1
7,141.62,1
17,25.67,1
8,121.15,1
5,159.29,1
7,143.17,1
18,112.91,1
2,87.07,1
16,90.59,1
16,155.46,1
1,29.43,-1
11,187.02,1
8,193.61,1
1,165.46,1
5,141.7,1
9,76.18,1
11,105.41,1
12,195.98,1
13,40.69,1
8,168.99,1
7,52.13,1
12,121.6,1
17,39.01,1
13,161.93,1
10,69.27,1
5,78.06,1
4,37.09,1
10,105.61,1
13,65.97,1
10,44.92,1
13,175.81,1
4,48.07,1
8,82.69,1
1,156.04,1
8,46.0,1
1,186.54,-1
14,157.37,1
16,175.7,1
10,138.67,1
3,172.19,1
8,30.95,1
11,69.05,1
5,32.18,1
7,35.98,1
10,97.5,1
1,120.55,1
19,103.19,1
11,61.74,1
10,128.51,1
8,72.7,1
13,199.76,1
2,122.65,1
17,91.92,1
8,180.68,1
6,39.65,1
13,79.7,1
6,128.88,1
9,99.62,1
13,128.57,1
3,73.03,1
11,101.47,1
16,162.83,1
11,117.22,1
3,79.85,1
12,191.24,1
5,189.2,1
3,83.92,1
6,125.79,1
19,62.65,1
4,45.21,1
5,68.41,1
8,63.84,1
4,194.85,1
12,151.04,1
1,123.76,1
7,188.85,1
13,26.16,1
2,59.18,1
6,63.15,1
11,103.72,1
13,49.79,1
16,137.38,1
13,32.26,1
16,150.47,1
19,88.07,1
10,91.25,1
2,156.92,1
2,22.38,-1
5,28.7,1
18,80.6,1
8,137.58,1
12,117.9,1
8,189.13,1
1,90.67,1
10,159.94,1
13,53.38,1
7,132.58,1
12,62.46,1
3,119.26,1
2,133.08,1
13,162.93,1
8,102.77,1
1,57.7,1
2,105.71,1
12,194.26,1
8,92.65,1
4,187.29,1
8,68.7,1
16,87.85,1
12,40.7,1
13,86.01,1
6,46.6,1
11,37.97,1
14,117.1,1
6,167.11,1
10,41.52,1
18,57.27,1
8,90.22,1
16,27.88,1
9,52.03,1
8,172.88,1
3,21.0,-1
2,93.22,1
5,62.98,1
15,71.55,1
14,116.74,1
13,80.91,1
8,159.94,1
13,186.9,1
9,191.5,1
6,81.76,1
18,186.58,1
4,90.36,1
12,132.24,1
1,96.67,1
12,123.65,1
9,76.58,1
4,122.27,1
4,62.11,1
5,179.11,1
15,125.74,1
17,163.0,1
12,86.68,1
7,119.85,1
4,116.14,1
8,53.15,1
10,169.33,1
2,129.63,1
2,49.61,1
17,44.43,1
11,191.73,1
5,182.9,1
13,198.96,1
6,74.25,1
10,119.55,1
7,90.09,1
18,51.33,1
4,39.82,1
3,190.25,1
15,29.31,1
15,70.72,1
8,180.93,1
5,24.26,1
1,165.58,1
7,45.56,1
19,138.09,1
12,150.56,1
10,118.71,1
6,112.09,1
4,67.75,1
16,158.61,1
3,145.12,1
17,97.81,1
16,139.79,1
14,186.48,1
13,141.02,1
1,45.55,1
5,25.01,1
3,193.74,1
4,152.55,1
18,126.05,1
12,177.06,1
17,137.8,1
11,186.96,1
9,119.78,1
13,106.56,1
10,26.4,1
7,172.83,1
7,161.21,1
5,168.1,1
17,116.72,1
12,127.37,1
10,144.06,1
13,64.74,1
11,190.21,1
8,37.09,1
13,180.43,1
6,89.46,1
3,107.6,1
15,41.12,1
17,45.9,1
18,46.53,1
19,198.63,-1
5,157.99,1
6,120.54,1
3,119.06,1
13,114.16,1
7,192.96,1
1,48.12,1
9,88.54,1
12,138.28,1
16,177.63,1
19,49.78,1
11,108.78,1
6,133.23,1
18,169.53,1
11,61.78,1
5,40.06,1
6,194.16,1
13,80.51,1
7,97.37,1
3,195.3,-1
10,129.85,1
14,45.06,1
16,83.21,1
3,59.63,1
6,75.93,1
9,50.08,1
5,76.81,1
1,40.04,1
11,186.26,1
13,105.2,1
2,120.58,1
8,56.53,1
5,169.7,1
4,172.35,1
16,123.47,1
18,137.62,1
14,174.7,1
5,179.51,1
11,107.66,1
13,138.66,1
2,32.25,-1
9,140.2,1
7,160.14,1
6,172.82,1
16,91.89,1
5,195.04,1
19,94.5,1
12,64.95,1
9,85.84,1
1,180.21,-1
9,57.21,1
15,88.15,1
13,35.26,1
18,145.36,1
11,155.9,1
4,127.23,1
15,199.39,1
4,125.76,1
18,168.94,1
19,126.71,1
17,71.68,1
19,198.5,-1
2,119.2,1
12,72.76,1
3,123.16,1
2,184.13,1
15,104.12,1
8,104.84,1
2,122.54,1
1,168.23,1
5,186.27,1
16,32.9,1
18,147.31,1
17,140.72,1
8,53.63,1
13,56.41,1
3,190.77,1
7,133.58,1
14,119.84,1
4,120.82,1
10,157.09,1
19,27.25,-1
2,68.98,1
1,125.31,1
6,157.93,1
12,173.33,1
12,24.55,1
9,39.23,1
13,112.03,1
4,127.72,1
1,98.62,1
11,78.61,1
6,112.94,1
3,53.76,1
2,85.86,1
9,171.74,1
10,90.95,1
7,44.76,1
9,79.92,1
17,161.09,1
12,133.53,1
4,110.43,1
14,89.8,1
3,198.39,-1
4,186.45,1
7,121.02,1
8,122.92,1
10,169.59,1
17,133.59,1
10,131.05,1
1,21.65,-1
1,110.88,1
3,69.52,1
1,91.44,1
2,185.72,1
8,153.43,1
5,160.4,1
18,141.89,1
13,153.86,1
16,152.07,1
19,41.43,1
11,152.49,1
14,71.77,1
2,49.03,1
9,192.99,1
19,64.62,1
9,174.53,1
18,148.05,1
1,23.29,-1
5,138.56,1
18,166.74,1
1,154.2,1
18,156.64,1
5,37.71,1
15,49.35,1
8,167.4,1
5,50.44,1
8,136.96,1
14,158.53,1
19,128.05,1
3,94.17,1
7,93.39,1
11,104.35,1
4,72.33,1
6,128.45,1
17,82.98,1
6,64.27,1
13,71.11,1
9,80.72,1
7,132.4,1
11,175.09,1
5,175.02,1
6,194.5,1
7,28.7,1
15,141.8,1
15,104.21,1
18,180.93,1
17,80.21,1
1,177.68,-1
8,124.43,1
17,165.96,1
7,20.04,-1
9,105.14,1
4,150.64,1
10,198.7,1
3,111.38,1
14,135.21,1
1,43.98,1
4,134.99,1
13,164.94,1
14,89.73,1
15,99.89,1
19,181.41,1
2,194.54,-1
19,164.19,1
14,143.59,1
10,125.37,1
9,33.78,1
1,96.62,1
12,84.92,1
6,161.11,1
1,27.76,-1
19,151.09,1
12,173.75,1
4,88.64,1
10,26.34,1
8,79.88,1
18,117.08,1
4,33.43,1
19,139.03,1
11,187.93,1
18,150.46,1
13,152.99,1
1,76.43,1
17,147.43,1
14,161.59,1
10,101.53,1
2,151.12,1
16,186.84,1
19,151.21,1
16,101.69,1
3,159.39,1
12,91.86,1
12,89.51,1
12,40.72,1
1,26.23,-1
3,97.59,1
2,80.64,1
14,104.71,1
18,142.7,1
6,123.19,1
11,38.93,1
8,124.63,1
16,176.66,1
16,106.08,1
7,113.5,1
13,102.3,1
14,72.58,1
12,23.0,1
14,79.15,1
12,66.23,1
5,177.44,1
8,130.72,1
1,198.19,-1
14,192.19,1
2,103.89,1
6,146.62,1
17,107.14,1
2,179.06,1
6,53.32,1
4,94.64,1
9,183.47,1
1,30.55,-1
1,113.71,1
5,134.78,1
2,106.71,1
17,40.07,1
18,179.37,1
15,107.47,1
2,33.58,1
4,71.44,1
18,182.38,1
2,44.08,1
8,176.32,1
9,137.2,1
11,69.47,1
6,135.29,1
18,179.65,1
13,180.1,1
10,31.47,1
9,87.04,1
5,79.15,1
8,45.36,1
7,64.73,1
8,97.56,1
19,139.35,1
13,80.87,1
6,194.9,1
10,151.6,1
17,34.83,1
7,104.05,1
2,35.84,1
6,120.75,1
18,157.6,1
18,146.86,1
2,51.92,1
16,59.5,1
4,128.81,1
15,126.33,1
8,147.31,1
4,122.44,1
1,120.6,1
16,180.7,1
2,119.75,1
4,137.36,1
5,84.66,1
10,45.85,1
19,33.09,-1
19,180.62,1
18,67.2,1
10,131.26,1
3,54.05,1
11,112.55,1
10,97.92,1
17,116.1,1
1,184.3,-1
9,164.05,1
17,20.46,-1
3,41.7,1
5,177.38,1
16,99.64,1
15,69.8,1
16,199.53,-1
17,147.88,1
14,120.89,1
3,118.3,1
9,101.61,1
6,49.5,1
17,170.85,1
10,179.68,1
3,195.2,-1
8,121.79,1
14,114.19,1
17,144.97,1
18,199.38,-1
16,73.88,1
13,74.69,1
14,48.59,1
6,35.53,1
5,92.68,1
3,110.86,1
17,79.73,1
16,137.43,1
14,144.12,1
7,162.32,1
12,183.0,1
19,160.06,1
4,60.1,1
8,57.35,1
9,157.76,1
2,159.44,1
9,149.52,1
19,151.24,1
14,101.19,1
12,176.46,1
1,28.79,-1
18,150.04,1
18,26.06,1
9,104.17,1
12,129.76,1
3,124.37,1
11,99.41,1
3,25.18,-1
8,163.6,1
11,153.71,1
2,93.17,1
10,118.92,1
19,105.59,1
14,57.63,1
5,64.29,1
6,48.65,1
6,155.81,1
7,77.42,1
17,64.02,1
17,177.44,1
3,184.84,1
10,132.64,1
16,67.05,1
3,34.96,1
8,138.71,1
10,29.0,1
7,171.87,1
19,129.98,1
3,40.24,1
7,191.52,1
1,38.09,-1
10,162.12,1
9,49.69,1
5,143.29,1
4,129.96,1
6,97.04,1
2,110.71,1
1,105.65,1
4,70.54,1
12,113.75,1
1,157.66,1
4,87.6,1
5,82.62,1
6,53.77,1
5,91.69,1
8,160.08,1
15,176.36,1
3,96.16,1
17,49.23,1
12,62.91,1
7,37.1,1
4,67.85,1
5,171.65,1
5,140.04,1
14,128.62,1
1,189.18,-1
18,122.62,1
10,87.78,1
12,31.12,1
3,43.46,1
17,98.68,1
11,156.75,1
13,188.14,1
3,96.99,1
2,24.1,-1
10,143.65,1
6,85.81,1
5,97.18,1
19,121.23,1
19,172.47,1
17,40.41,1
10,191.66,1
19,187.11,-1
7,47.35,1
13,193.51,1
17,42.79,1
19,28.2,-1
18,26.38,1
10,97.95,1
18,159.87,1
6,56.08,1
13,120.52,1
2,65.69,1
3,193.88,1
11,102.67,1
10,172.19,1
16,134.57,1
7,170.85,1
6,43.89,1
4,135.54,1
4,189.02,1
3,160.66,1
11,178.45,1
19,26.59,-1
18,109.27,1
7,68.63,1
6,21.39,-1
18,82.07,1
2,46.85,1
12,117.35,1
8,186.21,1
9,55.21,1
16,161.74,1
7,135.27,1
19,180.32,1
9,180.66,1
6,56.07,1
19,164.17,1
18,103.99,1
19,177.84,1
11,137.15,1
8,187.34,1
17,59.35,1
8,116.23,1
19,185.04,1
17,142.74,1
18,112.65,1
8,101.21,1
3,26.74,1
3,151.4,1
4,40.02,1
2,78.29,1
5,110.89,1
7,149.62,1
16,23.55,1
2,27.8,-1
4,114.94,1
13,58.75,1
4,77.81,1
7,72.64,1
16,143.78,1
7,185.65,1
19,30.73,-1
2,132.05,1
4,152.65,1
16,83.88,1
1,118.29,1
13,82.65,1
13,38.37,1
18,173.34,1
12,23.7,1
16,117.86,1
13,60.6,1
13,37.05,1
14,90.82,1
11,159.67,1
19,50.6,1
11,49.9,1
18,64.44,1
10,26.74,1
8,95.6,1
6,139.38,1
19,195.14,-1
7,142.61,1
11,80.53,1
14,122.43,1
6,74.47,1
8,126.2,1
15,63.53,1
14,131.92,1
17,91.3,1
8,146.76,1
18,169.63,1
7,65.65,1
8,163.26,1
15,122.17,1
11,174.66,1
19,148.52,1
8,122.67,1
10,111.31,1
17,191.88,1
3,79.98,1
2,85.13,1
15,67.88,1
19,129.07,1
12,153.45,1
11,38.58,1
16,32.03,1
19,86.44,1
4,68.2,1
